"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","from_prolific","study_id","session_id","assigned_sets","example_set","device_pixel_ratio","screen_w","screen_h","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","set","lower_interval","upper_interval","top_interval","bottom_interval","upper_on_top","is_catch","chose_upper","catch_correct"
"1186","1030","true","chrome","134.0.0","false","Linux","true","59.9","false","true","browser-check","0","2.1.0","1013","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","1","2.1.0","4199","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","true","false","[]","[]","[]","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","2","2.1.0","5509","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","","","","","","1309","<div class=""prose"">
    <h2>About this study</h2>
    <p>You'll compare pairs of computer-generated images and judge how much
    the texture changes between them. There are no right or wrong answers for
    most of the comparisons — we're measuring how the change looks to people.</p>
    <p>It takes about 10 minutes. We record your responses, your response times,
    and basic information about your screen. We don't collect anything that
    identifies you personally.</p>
    <p>You can stop at any time by closing the tab.</p>
    <p><em>[Replace this paragraph with your institution's approved consent
    text and ethics approval number before launch.]</em></p>
  </div>","0","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","2.1.0","7433","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","true","","","","","922","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","4","2.1.0","8766","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","","","","","","1331","<div class=""prose"">
    <h2>What to do</h2>
    <p>On each screen you'll see two rows. Each row holds two versions of the
    same image, differing in the <strong>size of the texture</strong> — the
    scale of the brush marks, grain, or pattern.</p>
    <p>Your job is to decide <strong>which row changes more</strong> between its
    left and right image. Not which row has bigger texture overall — which row
    has the bigger <em>difference</em>.</p>
    <ul>
      <li>Go with your first impression. Don't study them.</li>
      <li>Judge texture size, not colour, brightness, or subject matter.</li>
      <li>Some comparisons are close. Guess when you're unsure — that's expected.</li>
      <li>There are 49 comparisons. It goes quickly.</li>
    </ul>
  </div>","0","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","5","2.1.0","13058","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","","","","","","4288","
    <div class=""quad-prompt"">Here the <strong>top row</strong> changes more.</div>
    <div class=""quad"">
      <div class=""interval"">
    <img src=""images/set11_step01.jpg"" alt="""">
    <img src=""images/set11_step06.jpg"" alt="""">
  </div>
      <div class=""interval"">
    <img src=""images/set11_step01.jpg"" alt="""">
    <img src=""images/set11_step02.jpg"" alt="""">
  </div>
    </div>","0","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.1.0","33463","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","","","","","","20001","
      <div class=""quad-prompt"">Which row shows the bigger change in texture scale?</div>
      <div class=""quad"">
        <div class=""interval"">
    <img src=""images/set08_step04.jpg"" alt="""">
    <img src=""images/set08_step06.jpg"" alt="""">
  </div>
        <div class=""interval"">
    <img src=""images/set08_step01.jpg"" alt="""">
    <img src=""images/set08_step03.jpg"" alt="""">
  </div>
      </div>","1","mlds","set08","1-3","4-6","4-6","1-3","true","false","false",""
"","","","","","","","","","","","html-button-response","7","2.1.0","43044","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","","","","","","9578","
      <div class=""quad-prompt"">Which row shows the bigger change in texture scale?</div>
      <div class=""quad"">
        <div class=""interval"">
    <img src=""images/set01_step05.jpg"" alt="""">
    <img src=""images/set01_step06.jpg"" alt="""">
  </div>
        <div class=""interval"">
    <img src=""images/set01_step02.jpg"" alt="""">
    <img src=""images/set01_step04.jpg"" alt="""">
  </div>
      </div>","1","mlds","set01","2-4","5-6","5-6","2-4","true","false","false",""
"","","","","","","","","","","","html-button-response","8","2.1.0","48842","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","","","","","","5794","
      <div class=""quad-prompt"">Which row shows the bigger change in texture scale?</div>
      <div class=""quad"">
        <div class=""interval"">
    <img src=""images/set01_step04.jpg"" alt="""">
    <img src=""images/set01_step05.jpg"" alt="""">
  </div>
        <div class=""interval"">
    <img src=""images/set01_step01.jpg"" alt="""">
    <img src=""images/set01_step03.jpg"" alt="""">
  </div>
      </div>","1","mlds","set01","1-3","4-5","4-5","1-3","true","false","false",""
"","","","","","","","","","","","html-button-response","9","2.1.0","54288","pilot_4qjc8jt3","false","","","set09,set08,set01","set11","1.25","2560","1440","","","","","","5442","
      <div class=""quad-prompt"">Which row shows the bigger change in texture scale?</div>
      <div class=""quad"">
        <div class=""interval"">
    <img src=""images/set09_step01.jpg"" alt="""">
    <img src=""images/set09_step03.jpg"" alt="""">
  </div>
        <div class=""interval"">
    <img src=""images/set09_step04.jpg"" alt="""">
    <img src=""images/set09_step05.jpg"" alt="""">
  </div>
      </div>","0","mlds","set09","1-3","4-5","1-3","4-5","false","false","false",""
